ID,Month,Vessel Arrivals (Number),Vessel Arrivals - Shipping Tonnage (Thousand Gross Tonnes),Total Cargo (Thousand Tonnes),Cargo (General) (Thousand Tonnes),Cargo (Bulk) (Thousand Tonnes),Cargo (Oil-In-Bulk) (Thousand Tonnes),Cargo (General & Non-Oil In Bulk) (Thousand Tonnes),Total Container Throughput (Thousand Twenty-Foot Equivalent Units),Bunker Sales (Thousand Tonnes),Singapore Registry Of Ships (End Of Period) - Number (Number),Singapore Registry Of Ships (End Of Period) - '000 GT (Thousand Gross Tonnes),Month Val,Month Num,Year,Month Rank
171,2009 Apr,10698,145084,40207.5,22625.9,17581.6,15470.2,24737.3,2085.1,2884.8,3938,45383,1/4/2009,4,2009,172
172,2009 May,11187,159584,39974.8,22794.1,17180.8,15027.7,24947.2,2098.8,3227.2,3953,45099,1/5/2009,5,2009,173
173,2009 Jun,11029,143912,38027.3,22738.8,15288.5,14287.4,23739.9,2097,2960.7,3971,45352,1/6/2009,6,2009,174
174,2009 Jul,11438,154009,39810.6,24947,14863.7,13688.5,26122.1,2220.6,3072.6,3998,45571,1/7/2009,7,2009,175
175,2009 Aug,11261,153545,40461.4,24939.2,15522.2,14495.4,25966,2276.5,3063.1,4012,46311,1/8/2009,8,2009,176
176,2009 Sep,10799,150254,37834.5,23501.5,14333,13205,24629.4,2145.4,3172.4,4020,46364,1/9/2009,9,2009,177
177,2009 Oct,11163,155932,41378.4,25398.3,15980.1,14893.8,26484.6,2314.3,3122.3,3999,46132,1/10/2009,10,2009,178
178,2009 Nov,10502,146713,40179.9,25009.3,15170.6,14144.9,26035.1,2326.9,2882.8,4005,46185,1/11/2009,11,2009,179
179,2009 Dec,10993,152197,41129.8,25088.9,16040.9,15069.8,26060.1,2283.8,3181.3,3950,45632,1/12/2009,12,2009,180
180,2010 Jan,10993,154240,42395.7,25337.9,17057.7,15908.4,26487.3,2332.3,3212.5,3938,45730,1/1/2010,1,2010,181
181,2010 Feb,9981,145450,37963.4,23867.6,14095.8,13420.7,24542.7,2183.2,3022.4,3919,45962,1/2/2010,2,2010,182
182,2010 Mar,10997,158543,43825.5,26962.5,16863,15463.4,28362.1,2409.6,3328.5,3907,46067,1/3/2010,3,2010,183
183,2010 Apr,10431,153626,43045.2,26176.6,16868.6,15869.9,27175.3,2320.8,3422.6,3913,46357,1/4/2010,4,2010,184
184,2010 May,10706,160764,41188.4,27190.9,13997.6,13084.1,28104.3,2422.5,3470.4,3912,46403,1/5/2010,5,2010,185
185,2010 Jun,10598,160281,42564.5,26562.5,16002,14640.7,27923.8,2395,3543.8,3921,46541,1/6/2010,6,2010,186
186,2010 Jul,10891,166139,43035.3,27818.1,15217.2,14213.1,28822.2,2520.8,3563.8,3936,46620,1/7/2010,7,2010,187
187,2010 Aug,10645,160404,42657.8,26657.3,16000.5,14834.1,27823.7,2426.4,3375,3920,47124,1/8/2010,8,2010,188
188,2010 Sep,10200,160710,39048,24123.5,14924.4,14112.5,24935.5,2233.8,3553.7,3931,47618,1/9/2010,9,2010,189
189,2010 Oct,10546,168714,41743.5,26284.4,15459.1,14359.9,27383.6,2392.1,3556.1,3947,47768,1/10/2010,10,2010,190
190,2010 Nov,10307,163734,42119.1,26366.5,15752.7,14836.7,27282.4,2415.5,3311,3949,48177,1/11/2010,11,2010,191
191,2010 Dec,11004,166803,43755.7,26335.4,17420.4,16326.9,27428.9,2379,3493,3978,48783,1/12/2010,12,2010,192
192,2011 Jan,10937,177800,43240.8,27445.7,15795.1,14722.1,28518.6,2416.1,3642.4,3997,49584,1/1/2011,1,2011,193
193,2011 Feb,9488,159536,39113.8,23644.7,15469.2,14230.5,24883.4,2146.9,3268.8,4021,50399,1/2/2011,2,2011,194
194,2011 Mar,10994,181780,44948.9,28734.2,16214.7,15057.2,29891.7,2504.2,3520.7,4047,51481,1/3/2011,3,2011,195
195,2011 Apr,10401,169981,49585,27935.4,21649.6,20703.3,28881.7,2461.1,3248.5,4037,52168,1/4/2011,4,2011,196
196,2011 May,10680,177335,44975.1,28574.3,16400.8,15231.8,29743.3,2571.8,3621.9,4045,52470,1/5/2011,5,2011,197
197,2011 Jun,10468,170444,45665.1,28401.7,17263.5,16319.7,29345.4,2482.3,3859.2,4062,52981,1/6/2011,6,2011,198
198,2011 Jul,11148,177244,45338.4,29366.8,15971.7,15011.5,30327,2639.5,3642.9,4071,53683,1/7/2011,7,2011,199
199,2011 Aug,10827,181694,46280,28974.9,17305.1,16475.9,29804.1,2625.7,3815.3,4076,53880,1/8/2011,8,2011,200
200,2011 Sep,10432,171645,42308.6,26628.4,15680.2,14644,27664.5,2410.2,3568.4,4093,54686,1/9/2011,9,2011,201
201,2011 Oct,11069,188049,44155.2,29389.5,14765.8,13921.9,30233.3,2568.7,3546.2,4068,55105,1/10/2011,10,2011,202
202,2011 Nov,10519,176605,43038.5,27445.5,15593,14832.2,28206.3,2472.1,3615.4,4098,56060,1/11/2011,11,2011,203
203,2011 Dec,11035,188169,42526.1,28969.6,13556.5,12693.1,29832.9,2639,3804.1,4111,57360,1/12/2011,12,2011,204
204,2012 Jan,10743,189814,44855.7,27747,17108.7,15342.7,29513,2542.8,3668.5,4136,57811,1/1/2012,1,2012,205
205,2012 Feb,10120,171077,40963.4,26831.3,14132.2,13246.8,27716.7,2345.4,3092.7,4139,58579,1/2/2012,2,2012,206
206,2012 Mar,11050,191940,48623.7,30436.8,18186.9,15362.3,33261.4,2648.7,3608.8,4148,59086,1/3/2012,3,2012,207
207,2012 Apr,10669,186795,44219.2,29912.1,14307.1,13380.2,30839,2600,3735.4,4141,59779,1/4/2012,4,2012,208
208,2012 May,11218,197794,46734.5,30867.1,15867.4,14856.5,31878,2793,3985.7,4146,60294,1/5/2012,5,2012,209
209,2012 Jun,10790,186391,46243.7,30823.6,15420.1,14496.4,31747.3,2710.4,3646.9,4177,60934,1/6/2012,6,2012,210
210,2012 Jul,11099,191730,43821,30136.7,13684.3,12449.9,31371.1,2769.6,3655.2,4182,61628,1/7/2012,7,2012,211
211,2012 Aug,10825,189373,44291.7,28961.3,15330.4,14250,30041.8,2744.7,3556,4163,61935,1/8/2012,8,2012,212
212,2012 Sep,10768,182714,44792.6,29636.4,15156.2,14054.5,30738.2,2609.1,3326.4,4186,62582,1/9/2012,9,2012,213
213,2012 Oct,10959,189815,44993.4,29757.1,15236.3,14108.2,30885.2,2675.4,3508.4,4220,64167,1/10/2012,10,2012,214
214,2012 Nov,10906,189932,44964,29219.2,15744.8,14772.7,30191.3,2589.1,3275.6,4230,64665,1/11/2012,11,2012,215
215,2012 Dec,11275,186978,43509.1,29212.9,14296.2,13351.3,30157.8,2621.1,3625.7,4232,65018,1/12/2012,12,2012,216
216,2013 Jan,11564,196667,43408.5,27103.7,16304.9,15300.8,28107.8,2629.7,3787.6,4257,65602,1/1/2013,1,2013,217
217,2013 Feb,10363,175318,38312,24855.4,13456.7,12528.1,25783.9,2361.6,3076.4,4247,65707,1/2/2013,2,2013,218
218,2013 Mar,11579,186302,43779.9,30789.5,12990.4,11787.9,31992,2643.7,3362.7,4273,67412,1/3/2013,3,2013,219
219,2013 Apr,11360,189406,46426.9,30353.8,16073.2,14797.9,31629.1,2627.8,3647.9,4285,68425,1/4/2013,4,2013,220
220,2013 May,11803,199605,50999.9,32674,18325.9,17035.3,33964.6,2826.6,3533.9,4288,68873,1/5/2013,5,2013,221
221,2013 Jun,11565,189871,46946.2,30958.3,15987.9,14801.6,32144.6,2725.2,3478.2,4309,69817,1/6/2013,6,2013,222
222,2013 Jul,11992,204455,49700.6,33179,16521.6,15128.9,34571.7,2952.6,3740.8,4317,70615,1/7/2013,7,2013,223
223,2013 Aug,11921,198932,48765.3,31394,17371.3,15937.6,32827.7,2818.2,3488.1,4326,70921,1/8/2013,8,2013,224
224,2013 Sep,11716,195353,46298.3,30458.8,15839.5,14490,31808.3,2716,3610.5,4338,71685,1/9/2013,9,2013,225
225,2013 Oct,11975,196541,50268.5,31488.7,18779.8,17296,32972.6,2823.9,3780.6,4342,71911,1/10/2013,10,2013,226
226,2013 Nov,11667,196356,47916.3,30434.2,17482.1,16480.4,31435.9,2694.3,3373.1,4362,73055,1/11/2013,11,2013,227
227,2013 Dec,11912,197315,48065.3,31426.9,16638.4,14865.1,33200.2,2759.3,3802.4,4380,73615,1/12/2013,12,2013,228
228,2014 Jan,11754,214748,47411.4,30109.1,17302.3,15920.1,31491.3,2685.9,3557.8,4400,74875,1/1/2014,1,2014,229
229,2014 Feb,10679,180201,42919.1,26912.2,16006.9,14879.2,28039.9,2413.2,3277.4,4402,75377,1/2/2014,2,2014,230
230,2014 Mar,11886,203364,51450.4,33141,18309.4,16884.5,34565.9,2835.3,3184.9,4412,76350,1/3/2014,3,2014,231
231,2014 Apr,11432,193720,49432.7,32252.8,17179.9,15920.6,33512.1,2791.4,3812.9,4430,77503,1/4/2014,4,2014,232
232,2014 May,11589,202037,50534.3,32952.3,17582,16295.6,34238.7,2942.7,3637.6,4454,79030,1/5/2014,5,2014,233
233,2014 Jun,11227,189039,48149.3,32029.8,16119.5,14890.9,33258.4,2837.5,3373.8,4474,79144,1/6/2014,6,2014,234
234,2014 Jul,11172,201325,47329,33497.7,13831.3,12766.2,34562.8,2945.2,3662.6,4503,79535,1/7/2014,7,2014,235
235,2014 Aug,11091,199676,49716.2,32364.1,17352.1,16061.1,33655.1,2869.3,3668.8,4527,80065,1/8/2014,8,2014,236
236,2014 Sep,10818,196684,49281.1,32584.2,16696.9,15389.5,33891.6,2809.9,3521.5,4527,80497,1/9/2014,9,2014,237
237,2014 Oct,11281,195484,48892.9,32992.9,15899.9,14674,34218.8,2971.4,3593.6,4554,80965,1/10/2014,10,2014,238
238,2014 Nov,10766,202041,45674,32303.7,13370.2,12259.6,33414.3,2858.4,3548.4,4561,81521,1/11/2014,11,2014,239
239,2014 Dec,11188,192789,50477.6,33278.5,17199.1,15738.1,34739.5,2909.1,3577.5,4595,82249,1/12/2014,12,2014,240
240,2015 Jan,11319,208716,49881.1,31603.4,18277.6,16525.5,33355.5,2781.5,3680.1,4617,83089,1/1/2015,1,2015,241
241,2015 Feb,10240,189636,46021.4,29045.1,16976.3,15592.6,30428.8,2607.5,3396,4633,83111,1/2/2015,2,2015,242
242,2015 Mar,11126,200481,49873.4,32028,17845.3,15963.7,33909.6,2735.9,3577.5,4647,83473,1/3/2015,3,2015,243
243,2015 Apr,10762,205747,49117.9,31211.2,17906.7,16505.4,32612.5,2633.1,3665.9,4669,83789,1/4/2015,4,2015,244
244,2015 May,11021,208615,48533.8,31128.5,17405.4,15776.7,32757.2,2622.9,3707.2,4682,84105,1/5/2015,5,2015,245
245,2015 Jun,10960,202295,48248.3,30474.2,17774.1,16331.5,31916.8,2616.8,3536,4691,84586,1/6/2015,6,2015,246
246,2015 Jul,11295,210949,49972.5,30049.1,19923.3,18531.7,31440.7,2554.5,3785.3,4702,85496,1/7/2015,7,2015,247
247,2015 Aug,11536,225302,49042.9,30161.1,18881.8,17203.7,31839.2,2525.9,4287.8,4722,86151,1/8/2015,8,2015,248
248,2015 Sep,11045,208558,46474.3,28623.5,17850.8,16532.7,29941.6,2427.7,3847.6,4730,86341,1/9/2015,9,2015,249
249,2015 Oct,11144,210770,47232.6,29489.3,17743.3,16104.4,31128.2,2497,3637,4746,86571,1/10/2015,10,2015,250
250,2015 Nov,11046,209419,45171.3,28276.3,16895,15722.3,29449,2404.4,3984,4743,86631,1/11/2015,11,2015,251
251,2015 Dec,11428,223666,46276.5,29768.8,16507.7,15046.6,31229.9,2515.2,4051.2,4739,86300,1/12/2015,12,2015,252
252,2016 Jan,11657,228885,45918,29079.5,16838.6,15375.2,30542.9,2488.4,4164.5,4767,86851,1/1/2016,1,2016,253
253,2016 Feb,10621,204271,46718.7,27784.3,18934.4,17662.4,29056.4,2383.8,3510,4790,87058,1/2/2016,2,2016,254
254,2016 Mar,11789,227513,49494.7,29909.1,19585.6,18002.4,31492.3,2518,4149.8,4781,87099,1/3/2016,3,2016,255
255,2016 Apr,11530,225145,51300.9,29478.4,21822.5,20542.7,30758.3,2528.1,4109.7,4775,87145,1/4/2016,4,2016,256
256,2016 May,11708,230316,52727.6,30628.2,22099.4,20736.6,31990.9,2665.4,4363.7,4770,87228,1/5/2016,5,2016,257
257,2016 Jun,11454,222676,49019.3,29771.1,19248.2,17876.5,31142.8,2597.7,4086.9,4759,87225,1/6/2016,6,2016,258
258,2016 Jul,11322,222867,48110.3,28864.2,19246.1,18009.3,30101,2571.3,4115,4760,87379,1/7/2016,7,2016,259
259,2016 Aug,11708,227741,49625.1,30194.4,19430.8,17030.6,32594.5,2682.3,4228,4737,86490,1/8/2016,8,2016,260
260,2016 Sep,11437,212087,47875.8,29226.4,18649.4,17017.9,30857.9,2597,3831,4728,87251,1/9/2016,9,2016,261
261,2016 Oct,11928,220083,49769.2,28606,21163.1,19625.9,30143.3,2533.1,4008.8,4728,87656,1/10/2016,10,2016,262
262,2016 Nov,11713,221312,50101.4,29204.5,20896.9,19452.9,30648.5,2573.1,4142.2,4730,87771,1/11/2016,11,2016,263
263,2016 Dec,12131,219799,52635.6,30497.3,22138.3,20081.1,32554.5,2765.5,3904.9,4717,88023,1/12/2016,12,2016,264
264,2017 Jan,11925,235319,51044.8,28832.2,22212.6,20633.2,30411.6,2623.3,4462.2,4721,88448,1/1/2017,1,2017,265
265,2017 Feb,10666,207820,48370.1,27186.3,21183.8,19853.8,28516.3,2297.2,3846.4,4713,88749,1/2/2017,2,2017,266
266,2017 Mar,12318,234467,53068.3,31876.8,21191.5,19702.9,33365.3,2691.6,4341.9,4686,88475,1/3/2017,3,2017,267
267,2017 Apr,12260,229465,52937,32614.2,20322.8,18617.6,34319.3,2724.4,4253.3,4683,88828,1/4/2017,4,2017,268
268,2017 May,12655,243798,53920.1,33454.9,20465.2,18882.1,35038,2990.9,4180.6,4662,88908,1/5/2017,5,2017,269
269,2017 Jun,12275,235488,50979.4,31425.9,19553.5,17891.9,33087.5,2822.4,3836.3,4640,89248,1/6/2017,6,2017,270
270,2017 Jul,11811,232045,50115.5,31700.5,18415,16874,33241.5,2877,4393.7,4624,89660,1/7/2017,7,2017,271
271,2017 Aug,11916,234390,52963.5,32433.6,20529.9,18932.9,34030.6,2947.4,4363.6,4621,89636,1/8/2017,8,2017,272
272,2017 Sep,11619,231419,52833.2,31003,21830.2,20589.8,32243.3,2800,4341,4618,89988,1/9/2017,9,2017,273
273,2017 Oct,12549,234494,53877.1,31270.2,22606.9,21178.8,32698.3,2957.1,4005.3,4600,89873,1/10/2017,10,2017,274
274,2017 Nov,12347,236194,53120.2,31919.5,21200.8,19673.5,33446.7,2977.1,4315.6,4590,89609,1/11/2017,11,2017,275
275,2017 Dec,12806,244686,54458.9,32328.7,22130.2,20208.2,34250.7,2958.1,4296.6,4578,88808,1/12/2017,12,2017,276
276,2018 Jan,12642,249644,53186.5,32084.5,21102.1,19668.2,33518.4,2992.9,4605.6,4583,89993,1/1/2018,1,2018,277
277,2018 Feb,11130,224248,48984.1,29635.3,19348.8,17962.3,31021.8,2822.9,4135.9,4578,90585,1/2/2018,2,2018,278
278,2018 Mar,12546,238689,53776.6,34172.3,19604.2,18204.1,35572.5,3048.8,4168.3,4581,91153,1/3/2018,3,2018,279
279,2018 Apr,12133,241009,51969.9,32134.5,19835.5,18366.1,33603.9,2915.3,4233.3,4572,91628,1/4/2018,4,2018,280
280,2018 May,12225,236607,53372.1,34345.3,19026.8,17643.3,35728.8,3182.8,4283.5,4558,91600,1/5/2018,5,2018,281
281,2018 Jun,11192,226588,51768.1,32891.7,18876.3,17565.5,34202.6,3058.7,3922.3,4533,90707,1/6/2018,6,2018,282
282,2018 Jul,11605,226025,52268.8,33846,18422.7,16746.5,35522.2,3133.5,4035.8,4525,90793,1/7/2018,7,2018,283
283,2018 Aug,11389,222035,54838.2,33273.5,21564.8,20093.7,34744.5,3156.3,3962.9,4517,90993,1/8/2018,8,2018,284
284,2018 Sep,11367,230533,50349.8,31679.9,18669.9,17270.5,33079.3,2988.9,4112.1,4501,91380,1/9/2018,9,2018,285
285,2018 Oct,11629,233085,53547,32493.5,21053.5,19777.4,33769.7,3153.1,4125.2,4482,91435,1/10/2018,10,2018,286
286,2018 Nov,11187,228495,51785.3,31884.6,19900.6,18719.8,33065.5,3014.7,3906.1,4472,91387,1/11/2018,11,2018,287
287,2018 Dec,11723,235007,54278.8,33304,20974.8,19508.1,34770.8,3131.3,4307.8,4456,90944,1/12/2018,12,2018,288
288,2019 Jan,11678,248250,51930,31331.4,20598.6,19047.5,32882.5,2999.1,4199.4,4468,92133,1/1/2019,1,2019,289
289,2019 Feb,10275,214560,47962.1,28500.2,19461.9,18280.1,29682,2740.5,3780.4,4469,92486,1/2/2019,2,2019,290
290,2019 Mar,11509,229405,52019.7,34306.7,17712.9,16108.4,35911.3,3163.9,4090.8,4472,93075,1/3/2019,3,2019,291
291,2019 Apr,11243,226032,54329.1,32229.6,22099.5,20831.1,33498,2992.1,3712.1,4471,93926,1/4/2019,4,2019,292
292,2019 May,11697,235454,55848.5,32880.1,22968.4,21614.2,34234.3,3137.8,4006.5,4465,95411,1/5/2019,5,2019,293
293,2019 Jun,11138,227457,53341,31278.5,22062.6,20480,32861.1,2997,3919.9,4460,95808,1/6/2019,6,2019,294
294,2019 Jul,11554,238851,52124.6,33889.4,18235.2,16825.1,35299.5,3235.4,3878.2,4461,96234,1/7/2019,7,2019,295
295,2019 Aug,11739,236774,51066.4,32944.5,18121.9,16506.7,34559.8,3133.7,3668.9,4447,96116,1/8/2019,8,2019,296
296,2019 Sep,11547,244462,49785.2,31748.3,18036.9,16538.5,33246.7,3093.9,3898.4,4446,96885,1/9/2019,9,2019,297
297,2019 Oct,12026,250282,52557.7,32972.3,19585.4,18094.8,34462.9,3234.4,3767.7,4463,97736,1/10/2019,10,2019,298
298,2019 Nov,11743,244544,52378.8,33828.2,18550.6,17012.3,35366.5,3267.7,4075.6,4457,97780,1/11/2019,11,2019,299
299,2019 Dec,12148,258664,53177.9,33526.3,19651.7,18106,35071.9,3260.5,4465.7,4437,97320,1/12/2019,12,2019,300
300,2020 Jan,12134,263883,51044.7,32152.9,18891.8,17243.6,33801.2,3182.6,4514.7,4418,97375,1/1/2020,1,2020,301
301,2020 Feb,10879,234656,47761.1,29848.2,17912.9,16285.8,31475.2,2898.7,3879.7,4414,97442,1/2/2020,2,2020,302
302,2020 Mar,9827,251388,53344.5,34576.7,18767.8,17107,36237.5,3197.9,4322.3,4409,97333,1/3/2020,3,2020,303
303,2020 Apr,7015,230354,47611.1,30340.3,17270.7,15589.3,32021.8,2843.5,4113.7,4388,96838,1/4/2020,4,2020,304
304,2020 May,6582,223323,44620.5,27737.9,16882.6,15504.2,29116.3,2806.7,3925,4377,96747,1/5/2020,5,2020,305
305,2020 Jun,6701,227328,48163.7,29261.3,18902.4,17321.5,30842.2,2907.7,3829,4371,96444,1/6/2020,6,2020,306
306,2020 Jul,7178,252005,48752.1,30393.2,18358.9,16994.1,31758.1,3016.3,4157.7,4354,96395,1/7/2020,7,2020,307
307,2020 Aug,6958,244007,50448.1,32165.5,18282.6,16410.3,34037.8,3174.7,4168.9,4352,96196,1/8/2020,8,2020,308
308,2020 Sep,7255,240460,49197.3,31731.3,17465.9,15845.5,33351.8,3207.7,4217.6,4332,96164,1/9/2020,9,2020,309
309,2020 Oct,7502,243803,50058.5,32670.8,17387.8,15303.8,34754.8,3238.7,4152.4,4325,96394,1/10/2020,10,2020,310
310,2020 Nov,7347,246268,49760.1,32195.8,17564.3,16039.4,33720.7,3134.6,4262.5,4315,96165,1/11/2020,11,2020,311
311,2020 Dec,7479,245140,49976.5,33296.3,16680.2,14684.2,35292.3,3333.3,4289.6,4275,94998,1/12/2020,12,2020,312
312,2021 Jan,7641,255333,51042,32413.3,18628.7,16391.8,34650.1,3156,4503,4247,94287,1/1/2021,1,2021,313
313,2021 Feb,6990,236521,47445.2,30217.3,17227.9,14980.8,32464.4,2881.6,4120.1,4229,93806,1/2/2021,2,2021,314
314,2021 Mar,7788,245082,52683.4,33725.3,18958,17101.7,35581.6,3270.6,4199.3,4207,94171,1/3/2021,3,2021,315
315,2021 Apr,7500,239955,50261.3,31936.4,18324.9,16361.1,33900.2,3091.3,4256.5,4184,93592,1/4/2021,4,2021,316
316,2021 May,7211,238117,51385.1,33275,18110.1,15937.2,35447.9,3216.9,4071.8,4157,93693,1/5/2021,5,2021,317
317,2021 Jun,7247,231444,48768.8,31798.5,16970.3,15284.9,33483.9,3114.5,4113,4148,93701,1/6/2021,6,2021,318
318,2021 Jul,7246,229192,50446.9,32357.1,18089.8,16091.3,34355.6,3123.6,4063.8,4137,93593,1/7/2021,7,2021,319
319,2021 Aug,7178,226135,49773.4,32069.3,17704.1,15965.4,33807.9,3182.3,4071.9,4132,93870,1/8/2021,8,2021,320
320,2021 Sep,6918,221138,48263.5,30896.3,17367.2,15619.4,32644.1,3117.4,3935.3,4123,93493,1/9/2021,9,2021,321
321,2021 Oct,7098,230042,48764.4,30971.8,17792.6,16409.5,32354.9,2974.9,4254.7,4125,93754,1/10/2021,10,2021,322
322,2021 Nov,7130,230995,52126.3,32336.2,19790.1,17777.1,34349.2,3150,4221.6,4120,93298,1/11/2021,11,2021,323
323,2021 Dec,7286,229815,48682.5,33320.6,15361.8,13684.4,34998,3292.2,4177.8,4090,92336,1/12/2021,12,2021,324
324,2022 Jan,7213,234263,52096,32302,19794,18046.8,34049.2,3143.7,4029,4079,91946,1/1/2022,1,2022,325
325,2022 Feb,6440,207372,45205,29511.6,15693.4,14215,30989.9,2843.5,3506.8,4083,92135,1/2/2022,2,2022,326
326,2022 Mar,7307,223085,48660.1,31738.4,16921.7,15133.1,33527,3089.5,3769.9,4082,92615,1/3/2022,3,2022,327
327,2022 Apr,7608,225609,47132.1,30720.2,16411.9,14994.1,32138,3042,3750,4091,92908,1/4/2022,4,2022,328
328,2022 May,7815,239398,47283.1,30781.8,16501.3,14760.1,32523,3122,4044,4084,93131,1/5/2022,5,2022,329
329,2022 Jun,8301,230600,48278.8,30919.4,17359.3,15933.3,32345.5,3166.2,3756,4070,93149,1/6/2022,6,2022,330
330,2022 Jul,9044,246795,50927.3,32504.9,18422.5,16522.5,34404.8,3286.3,4119.2,4046,93132,1/7/2022,7,2022,331
331,2022 Aug,9129,244950,49200.5,31125.6,18074.9,16550.6,32649.9,3262.3,4116.3,4049,93469,1/8/2022,8,2022,332
332,2022 Sep,8976,231414,46599.3,28875.9,17723.4,15915.8,30683.4,3063.8,3959.5,4041,94022,1/9/2022,9,2022,333
333,2022 Oct,9451,251201,47054.7,29338.2,17716.6,15917.5,31137.3,3061.8,4252.8,4029,94286,1/10/2022,10,2022,334
334,2022 Nov,9442,248478,46726.8,29071.9,17655,16122.9,30603.9,2955.5,4375.6,4038,95062,1/11/2022,11,2022,335
335,2022 Dec,10081,245198,49057,30215.1,18841.9,16244.2,32812.8,3252.9,4217.8,4023,95472,1/12/2022,12,2022,336
336,2023 Jan,10035,257448,47812.4,29192.4,18620,16384.6,31427.9,2989.5,4378.3,4028,95977,1/1/2023,1,2023,337
337,2023 Feb,9202,226666,45592.9,27119.1,18473.8,17008.4,28584.5,2684.4,3795.9,4016,95966,1/2/2023,2,2023,338
338,2023 Mar,10270,254530,50523.3,33132.3,17391,15358.7,35164.6,3335.5,4179,4022,96608,1/3/2023,3,2023,339
339,2023 Apr,9987,259312,49521.8,32119.1,17402.8,15821.4,33700.4,3264.7,4258.8,4009,96941,1/4/2023,4,2023,340
340,2023 May,10324,266695,48185.6,32048.3,16137.3,14205.2,33980.4,3409.7,4525.3,3998,96412,1/5/2023,5,2023,341
341,2023 Jun,9845,250043,49414.5,31114.7,18299.8,16406.6,33007.9,3345.6,3932.9,3988,96365,1/6/2023,6,2023,342
342,2023 Jul,10196,260279,51218.7,32991.6,18227.1,16524.1,34694.6,3431.3,4517.5,3987,96964,1/7/2023,7,2023,343
343,2023 Aug,10070,263676,50045.2,32158.7,17886.5,16357.8,33687.5,3328.4,4255.1,3956,97282,1/8/2023,8,2023,344
